username,os,region,date
fbilston0,Android,Oceania,1485434419
mmacduff1,Android,Europe,1485474249
acampey2,iOS,Africa,1483572379
nmeasen3,iOS,North America,1483809143
mdanihel4,iOS,South America,1484613037
geaslea5,Android,Europe,1485070925
cbrewood6,Android,South America,1485699866
lleet7,iOS,Africa,1483378310
syakebovich8,Android,Asia,1484733950
alynnitt9,Android,North America,1484865224
rbroadberriea,Android,Oceania,1483599440
jdunnawayb,iOS,Africa,1485000846
tmarquissc,Android,Asia,1483931194
hadamoud,iOS,Oceania,1484581671
aparvine,Android,South America,1483553329
cdeernessf,Android,Europe,1484261610
thuddg,Android,Europe,1484625845
sskotcherh,Android,North America,1483853874
cstaversi,Android,South America,1483754234
rjeskinsj,Android,North America,1483472307
bsenescallk,iOS,Oceania,1484866099
rtrucel,Android,North America,1483904220
jbugdenm,Android,Asia,1483502622
mheathcoatn,iOS,Asia,1484868630
middonso,Android,Europe,1485632968
jcrierp,Android,Europe,1484259551
ddacostaq,iOS,Europe,1483902776
dimpyr,Android,Africa,1483662695
dpelfers,Android,North America,1485517529
obillhamt,Android,Europe,1485066328
nhardcastleu,Android,Africa,1485134169
