username,os,region,date
dcrossdale0,Android,North America,1496892708
dgasken1,iOS,Oceania,1498235333
nlung2,Android,Oceania,1497137966
scourtenay3,Android,South America,1498128922
rlabdon4,iOS,Africa,1497105998
mraffan5,iOS,Oceania,1497616798
gdepaepe6,Android,Europe,1496696216
kcotman7,iOS,North America,1497742190
hbudibent8,iOS,South America,1497834274
delcom9,iOS,Asia,1498365931
hsandersona,iOS,Africa,1498486553
uneighbourb,Android,Oceania,1498550816
acarluccic,iOS,Europe,1497835653
hsteaded,iOS,South America,1496820326
bnanellie,iOS,Asia,1496615431
kmcbreartyf,Android,Oceania,1497747412
lglasscoeg,Android,Asia,1497318760
iplesterh,iOS,Africa,1497897903
nodooleyi,iOS,Oceania,1497465238
relderedj,iOS,Oceania,1498154310
stalksk,iOS,Oceania,1497230061
cpleadenl,iOS,Africa,1497195166
jplanm,Android,Europe,1496885208
ninglesantn,iOS,South America,1498503580
kpavetto,iOS,Asia,1498209183
pcardellop,Android,Asia,1496382052
pvanrembrandtq,Android,North America,1496940366
mhavillr,Android,North America,1497506294
efidians,iOS,Europe,1497189629
nbonhamt,iOS,Europe,1498583419
belwoodu,iOS,South America,1498710467
apunchv,Android,Asia,1498137754
ocolhounw,Android,Europe,1498548909
mhyettx,iOS,Africa,1497651929
caisthorpey,Android,Europe,1496835087
wkempsonz,Android,Asia,1498695704
bmonk10,iOS,South America,1497396387
bambroisin11,Android,Asia,1498493789
rmacallam12,Android,Europe,1498597363
tpetherick13,Android,Asia,1496441770
lrobe14,Android,North America,1498316770
kdemalchar15,iOS,Europe,1497121732
thellyer16,Android,Oceania,1497375830
jportress17,Android,North America,1497009253
hnunn18,iOS,South America,1496943926
clefley19,iOS,Europe,1498714681
egrenkov1a,Android,Oceania,1498725678
kmansfield1b,iOS,Asia,1497346763
jkilliner1c,Android,Oceania,1498582394
abienvenu1d,iOS,Europe,1497302268
onoulton1e,iOS,Asia,1498601900
hdeverehunt1f,Android,Africa,1497133761
dhirtzmann1g,Android,South America,1496738177
ihofler1h,Android,South America,1497099448
galthrop1i,iOS,Europe,1498356511
lgrishechkin1j,iOS,Oceania,1498097675
fshrimpling1k,iOS,North America,1497997375
mtunuy1l,Android,Oceania,1498239462
brydzynski1m,iOS,Africa,1496326129
kmateja1n,iOS,South America,1497911160
gdelhanty1o,Android,North America,1498696233
jgladdor1p,Android,Africa,1497346844
ghuntingdon1q,iOS,North America,1497408215
jfreyn1r,iOS,Europe,1498334128
cwahncke1s,iOS,South America,1498355885
gwellbeloved1t,iOS,Asia,1497611231
hfeary1u,Android,Asia,1498115028
yaylwin1v,iOS,North America,1497857577
lcarhart1w,iOS,North America,1496696295
schristy1x,Android,North America,1496378184
spaolazzi1y,Android,Oceania,1497467023
hbradfield1z,Android,Europe,1497686684
tdobrovsky20,iOS,Europe,1496744607
kferriby21,Android,Africa,1497953104
oworledge22,Android,Asia,1496578076
mweiss23,iOS,Europe,1496900400
hborkett24,Android,Africa,1496976714
asybe25,Android,Oceania,1497356817
bboothebie26,iOS,Europe,1498480806
ckrout27,Android,Oceania,1496666058
skarlolak28,Android,Oceania,1498522027
wrenshall29,iOS,Africa,1497958146
sashling2a,Android,Europe,1498341029
agoode2b,Android,Oceania,1497268261
dbeltzner2c,iOS,Oceania,1496353885
grevelle2d,iOS,Europe,1498130533
mdugmore2e,iOS,South America,1498478909
lbrockie2f,Android,Europe,1497888091
mghirardi2g,iOS,Oceania,1498336760
rutley2h,iOS,Africa,1497862382
hciccottio2i,iOS,North America,1498386210
lhuelin2j,Android,Africa,1498396384
aianiello2k,Android,Asia,1497527367
jslemming2l,iOS,Europe,1498147018
mpetts2m,Android,Africa,1498265842
cjakubowicz2n,iOS,Africa,1497119308
ashergill2o,Android,Oceania,1496351218
dmourant2p,iOS,Asia,1496731984
gcorfield2q,Android,South America,1496989141
